2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:20	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:21	 	 file_Training_batchs.csv: File loaded successfully!!
