2021-08-19/19:11:43	 	Error while creating table: 'Session' object has no attribute 'close' 
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:49	 	Tables created successfully!!
2021-08-19/21:47:49	 	DB connection closed!!
2021-08-19/21:47:49	 	Tables created successfully!!
2021-08-19/21:47:49	 	DB connection closed!!
2021-08-19/21:47:49	 	Tables created successfully!!
2021-08-19/21:47:49	 	DB connection closed!!
2021-08-19/21:47:49	 	Tables created successfully!!
2021-08-19/21:47:49	 	DB connection closed!!
2021-08-19/21:47:49	 	Tables created successfully!!
2021-08-19/21:47:49	 	DB connection closed!!
2021-08-19/21:47:49	 	Tables created successfully!!
2021-08-19/21:47:49	 	DB connection closed!!
2021-08-19/21:52:29	 	Tables created successfully!!
2021-08-19/21:52:29	 	DB connection closed!!
2021-08-19/21:52:29	 	Tables created successfully!!
2021-08-19/21:52:29	 	DB connection closed!!
2021-08-19/21:52:30	 	Tables created successfully!!
2021-08-19/21:52:30	 	DB connection closed!!
2021-08-19/21:52:30	 	Tables created successfully!!
2021-08-19/21:52:30	 	DB connection closed!!
2021-08-19/21:52:31	 	Tables created successfully!!
2021-08-19/21:52:31	 	DB connection closed!!
2021-08-19/21:52:31	 	Tables created successfully!!
2021-08-19/21:52:31	 	DB connection closed!!
2021-08-19/21:52:32	 	Tables created successfully!!
2021-08-19/21:52:32	 	DB connection closed!!
2021-08-19/21:52:32	 	Tables created successfully!!
2021-08-19/21:52:32	 	DB connection closed!!
2021-08-19/21:52:32	 	Tables created successfully!!
2021-08-19/21:52:32	 	DB connection closed!!
2021-08-19/21:52:33	 	Tables created successfully!!
2021-08-19/21:52:33	 	DB connection closed!!
2021-08-19/21:52:34	 	Tables created successfully!!
2021-08-19/21:52:34	 	DB connection closed!!
2021-08-19/21:52:34	 	Tables created successfully!!
2021-08-19/21:52:35	 	DB connection closed!!
2021-08-19/21:52:36	 	Tables created successfully!!
2021-08-19/21:52:36	 	DB connection closed!!
2021-08-19/21:52:37	 	Tables created successfully!!
2021-08-19/21:52:37	 	DB connection closed!!
2021-08-19/21:52:37	 	Tables created successfully!!
2021-08-19/21:52:37	 	DB connection closed!!
2021-08-19/21:52:38	 	Tables created successfully!!
2021-08-19/21:52:38	 	DB connection closed!!
2021-08-19/21:52:38	 	Tables created successfully!!
2021-08-19/21:52:38	 	DB connection closed!!
2021-08-19/21:52:39	 	Tables created successfully!!
2021-08-19/21:52:39	 	DB connection closed!!
2021-08-19/21:52:41	 	Tables created successfully!!
2021-08-19/21:52:41	 	DB connection closed!!
2021-08-19/21:52:42	 	Tables created successfully!!
2021-08-19/21:52:42	 	DB connection closed!!
2021-08-19/21:52:42	 	Tables created successfully!!
2021-08-19/21:52:42	 	DB connection closed!!
2021-08-19/21:52:42	 	Tables created successfully!!
2021-08-19/21:52:42	 	DB connection closed!!
2021-08-19/22:08:38	 	Tables created successfully!!
2021-08-19/22:08:38	 	DB connection closed!!
2021-08-19/22:08:38	 	Tables created successfully!!
2021-08-19/22:08:38	 	DB connection closed!!
2021-08-19/22:08:38	 	Tables created successfully!!
2021-08-19/22:08:38	 	DB connection closed!!
2021-08-19/22:08:38	 	Tables created successfully!!
2021-08-19/22:08:38	 	DB connection closed!!
2021-08-19/22:08:38	 	Tables created successfully!!
2021-08-19/22:08:38	 	DB connection closed!!
2021-08-19/22:08:38	 	Tables created successfully!!
2021-08-19/22:08:38	 	DB connection closed!!
2021-08-19/22:08:38	 	Tables created successfully!!
2021-08-19/22:08:38	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
